period,overall_sharpe,overall_return,mean_rolling_sharpe,median_rolling_sharpe,min_rolling_sharpe,max_rolling_sharpe
7,-0.33747613427014433,-0.24802866372463372,-0.31607371014888047,-0.32645788485641447,-1.4985671040454698,0.6922029687638384
8,0.5484239792731476,0.2984673666436699,0.649829159706128,0.500261936233517,-1.2330977075147216,2.3148446897275883
9,0.5704202015698372,0.317910551808833,0.6923994343802684,0.4773792287288374,-1.0766607975340372,2.429903679296232
10,0.38627070139058833,0.19226868796800467,0.5610477767126478,0.43232043023207734,-1.1882129478548578,2.3727252064129787
11,-0.4476215551818089,-0.3639623604200507,-0.5222914716063697,-0.5334448727085799,-1.989532240502378,1.032035709611732
12,-0.4136740898404016,-0.34647229400962776,-0.4979911106242623,-0.4812270222016616,-2.0068547500515406,1.0081159756739873
13,-0.4070661750908046,-0.34335994316355045,-0.5258473658423456,-0.4704511672324726,-2.1401712262167996,0.9622750977463317
14,-0.4495838069878891,-0.36770155652050873,-0.6032302234217355,-0.46804249003760057,-2.3634212596030366,0.8309071346628091
15,-0.4337207091003552,-0.35970784785591237,-0.6234217507607687,-0.5133687275478365,-2.3691350255688977,0.8679491122269425
16,-0.15800300919895,-0.15668438082780833,-0.1771071671095813,-0.181174886617119,-1.8136579661040504,1.1464664684710884
17,0.049235933013907315,-0.01141251901913476,0.12097116676622852,0.05089893847156529,-1.7810007034454782,1.6114576302390138
18,0.2775574413209439,0.12696478005293654,0.3617813733245898,0.25063697249511124,-0.8106768218660584,1.8151435927471333
19,-0.3529141382597558,-0.2849401002543833,-0.4946481587022583,-0.4043127951456827,-2.2890178833173063,0.6343464792534286
20,-0.4600115358760327,-0.37662983705253605,-0.7515597959119932,-0.554226321184706,-2.780868514160863,0.682026786228422
21,-0.46229829762616464,-0.37938243585661313,-0.7335602305994238,-0.5237113075810592,-2.6971106479983367,0.6452619147932552
22,-0.27601517320006325,-0.24187038123023719,-0.40860887327781664,-0.299253775348038,-2.061972215289948,0.635922085314698
23,-0.40529614850408985,-0.34957388415141266,-0.6760906699962524,-0.5008031631729462,-2.7087255543918745,0.8011452820532603
24,-0.2997959087355559,-0.25630632482232685,-0.45233252933495777,-0.326611259003573,-2.1617095591322384,0.5911474770889193
25,-0.3949702861451259,-0.34504762169375425,-0.685191354472825,-0.47577928383381585,-2.8156769876310137,0.7994914206488407
26,-0.2664464729725675,-0.2582355917007242,-0.5764455652404563,-0.4343029618915019,-2.7761085067832765,0.876680820447609
27,-0.2789570263837529,-0.26571387435963145,-0.5900842097740219,-0.45345130414576595,-2.884849266588806,0.8463145281905763
28,-0.36094330521452894,-0.325751532769902,-0.6365970003829856,-0.44109910865714497,-2.966646696671659,0.8907380324359073
29,-0.31378985099511514,-0.2569193028421103,-0.5461025293929289,-0.3077626404313204,-2.343808097837739,0.7973518183042464
30,-0.28648531424681495,-0.25667054979624104,-0.5042263816752199,-0.36981380556096,-2.7669844809107373,0.9202612518236586
31,-0.20946338518593793,-0.17616438897444653,-0.3638044641248943,-0.2213328906181864,-2.1452163790077887,0.934382312230107
32,-0.015835893723323904,-0.04639559329113774,0.012894087403885514,0.01859771951355044,-0.9854374684348767,0.904007004993466
33,0.23047612029972633,0.10043327097362109,0.27968818531125555,0.26723893795908316,-0.7244306974665539,1.2644335302939147
34,0.07731546936417395,0.01214953137242758,0.23022133983361623,0.16868417420426912,-0.8088547059175122,1.3804020428542387
35,0.06262296841484763,0.0038928783991147853,0.22589147789622696,0.1783116475686232,-0.846477793128715,1.4344214216542412
36,0.5631026087058625,0.3020489613808066,0.7278297573480187,0.5788736280534412,-0.7242998954763308,2.272062149196266
37,0.05740417521238109,0.0009870500587798592,0.2014620571937588,0.10180271458649537,-0.7645103248515371,1.4154288642884991
38,0.01190413344769488,-0.0241270343045481,0.1371248876512225,0.04546733180021493,-0.7736258455874796,1.3417566097216516
39,0.4979474933275572,0.25710278883555615,0.6562436572090151,0.46946089505608884,-0.8015311749730871,2.2404843969647925
40,0.47272118894320225,0.24111363037401978,0.6248022299427095,0.42569641449691537,-0.826816742204954,2.244048654005407
41,1.0286544184844877,0.7652459600241694,0.9634167947053219,0.9262079861466996,-1.7859472260288731,2.6146174354497673
42,0.9475671398319944,0.6439377002843494,0.9504016997943834,0.8793795111183027,-1.37450260482061,2.6058741256992297
43,0.9257138665495765,0.623348396195262,0.9277168912294749,0.8621607150446743,-1.3252564636601458,2.5956660930524262
44,0.8996659060100552,0.600227960551504,0.8976218576160242,0.8179788663512448,-1.3588602065483404,2.5788406199141645
45,0.8992225864815738,0.5994837270835396,0.8964996531510144,0.8302565298702475,-1.3748935835021694,2.6000087577834448
46,0.32880094646752417,0.1562624338553591,0.5080833721366721,0.3709415572963484,-0.8632145027807794,2.0292560502315435
47,0.3180153343908572,0.1496730185295836,0.4978781067201933,0.35208885714139804,-0.8123215987325855,2.0175385032041344
48,0.32585586007236395,0.15438137395867146,0.5180332022928015,0.38835773197803203,-0.8356759046848266,2.014266339255094
49,0.33942594091302947,0.16271137811417802,0.5272481440562874,0.4072907964059391,-0.7408145983415596,2.002704027154627
50,0.3704901505690427,0.18156179129271943,0.5675067651535742,0.45106887024974945,-0.759250213985598,2.136208054200128
51,0.3994743534530498,0.19939145177339856,0.606756611821961,0.4573151873055187,-0.5747006707174027,2.1028191790885473
52,0.46323206124776656,0.239912447209373,0.6833226546425492,0.5045321273630302,-0.5110977115128912,2.0970185261450798
53,0.5047717363604932,0.26713430479809364,0.7341504758895018,0.5185116349532543,-0.4451692646782442,2.2455299623749245
54,0.5310236412162225,0.2856823627967855,0.7653342946488022,0.5455743727779536,-0.440198212192751,2.2525971143178243
55,0.5085306978427863,0.27071466899324537,0.7434160433933584,0.5373513214182649,-0.5071000559554815,2.297620868279166
56,0.5204742354827845,0.27888011628004583,0.7680296735221194,0.5513183321899733,-0.5445013738479145,2.379980830839016
57,0.5523949485677658,0.3006824281442204,0.800781895867408,0.5795372584011244,-0.5064866806784065,2.3601265531192714
58,0.5432912665084166,0.2943383779656672,0.7846080149996948,0.5556329356367136,-0.4962503079112382,2.3053274318560115
59,0.6620916617888662,0.3725066568988391,0.8012386643940952,0.48343711986221416,-0.3607903463956271,2.753991350623145
60,0.031114237294874593,-0.012912080099611534,0.32185020537871734,0.14858270955586614,-1.3761857264142323,2.2044420835142176
61,-0.10713423830160934,-0.09338952547999824,0.07004431246077848,0.07598185126240416,-1.7499336346822014,1.6101148528466922
62,-0.18229567575201144,-0.1507506011634181,-0.19297095795961286,-0.15372300505465306,-2.0052194024020524,1.0472903967600573
63,-0.210370430524217,-0.16618852593163513,-0.2138670343524559,-0.18058829345413757,-2.0040559991775617,1.0101278807724308
64,-0.2855481287801494,-0.22756850494901693,-0.39476384070137804,-0.3672965435574265,-2.57202192346236,0.9771138176745999
65,-0.28644488169274995,-0.22805512455912558,-0.3916701111758261,-0.3426302234466677,-2.6540543493191313,0.9998535532232024
66,-0.31253488497814563,-0.24238555765052694,-0.40576903322596974,-0.36242555667759924,-2.786986344829941,0.9552014755840614
67,-0.3220434001341867,-0.24729545373337447,-0.40301130621845743,-0.32521499282933214,-2.9107907870853276,0.9970233415915042
68,-0.3960204653443847,-0.32863592900046057,-0.6013522216804715,-0.5482515755554643,-3.6177912480945644,0.8461088536329217
69,-0.41206082319394927,-0.3372545830550393,-0.6243677363791453,-0.5758968952462417,-3.592562878540333,0.816752461723725
70,-0.3621303663096957,-0.28458614884111366,-0.3605876644742692,-0.262031508912351,-3.4396872896266286,1.1766645200531665
