,Open,High,Low,Close,Volume,Ticker,RSI_14,ADX_14,KAMA,ATR_14,MFI_14,Entropy_14
2021-01-04,315.11,315.29,305.18,300.924340091253,45305898.0,QQQ,,,,,,
2021-01-05,308.29,312.14,308.29,303.405207399884,29323409.0,QQQ,,,,,,
2021-01-06,307.0,311.88,305.98,299.202326312321,52809622.0,QQQ,,,,,,
2021-01-07,310.28,315.84,310.25,306.44062151868,30394826.0,QQQ,,,,,,
2021-01-08,317.34,319.39,315.0814,310.38082253827,33955847.0,QQQ,,,,,,
2021-01-11,315.98,317.19,313.75,305.895803599922,32869095.0,QQQ,,,,,,
2021-01-12,314.46,315.58,311.2,305.409359029602,28652545.0,QQQ,,,,,,
2021-01-13,314.19,316.86,313.57,307.471884007758,22898417.0,QQQ,,,0.0,,,
2021-01-14,316.5,317.53,313.8616,305.827701360077,23500129.0,QQQ,,,4.988206009311942,,,
2021-01-15,314.13,315.12,310.58,303.405207399884,35118718.0,QQQ,,,7.972376023217663,,,
2021-01-19,314.25,316.93,313.12,307.831852989795,24537049.0,QQQ,,,14.582275830500022,,,
2021-01-20,320.14,324.74,316.509,314.992317064902,30728096.0,QQQ,,,21.17786599284713,,,
2021-01-21,325.15,327.13,323.73,317.512099939159,25316935.0,QQQ,,,27.18984450267465,,,
2021-01-22,325.29,326.46,324.71,316.597584146958,21609444.0,QQQ,,,35.971164597272235,,50.59980570760077,
2021-01-25,328.91,330.32,321.41,319.214655935279,39080644.0,QQQ,72.79629657606476,,45.88930959727024,11.717004003089869,55.22419286643274,
2021-01-26,328.85,329.76,327.22,319.681642722786,25498112.0,QQQ,73.26090830568319,,55.018503472260186,11.592274950482128,54.981305457570095,
2021-01-27,326.26,326.27,317.36,310.769978194526,55263985.0,QQQ,54.227367748544864,,59.026249939108,11.31639642276668,54.39918265258505,
2021-01-28,320.67,326.42,320.03,312.608738670335,42836324.0,QQQ,56.72558119013046,,64.56888343268692,11.748540727842867,55.78152717098372,
2021-01-29,319.58,320.7193,312.76,306.032008079611,55259018.0,QQQ,46.8717635286221,,67.42231736002591,11.3957461376457,45.97659832502349,
2021-02-01,318.11,323.54,316.02,313.678916725039,35646008.0,QQQ,56.36332656635452,,70.20262662313094,11.973718385453287,53.312256565240325,
