,Open,High,Low,Close,Volume,Ticker,KAMA_SHORT_12,KAMA_LONG_30,SUPERTREND_14_2,MFI_14
2021-01-04,315.11,315.29,305.18,300.924340091253,45305898.0,QQQ,,,0.0,
2021-01-05,308.29,312.14,308.29,303.405207399884,29323409.0,QQQ,,,,
2021-01-06,307.0,311.88,305.98,299.202326312321,52809622.0,QQQ,,,,
2021-01-07,310.28,315.84,310.25,306.44062151868,30394826.0,QQQ,,,,
2021-01-08,317.34,319.39,315.0814,310.38082253827,33955847.0,QQQ,,,,
2021-01-11,315.98,317.19,313.75,305.895803599922,32869095.0,QQQ,,,,
2021-01-12,314.46,315.58,311.2,305.409359029602,28652545.0,QQQ,,,,
2021-01-13,314.19,316.86,313.57,307.471884007758,22898417.0,QQQ,,,,
2021-01-14,316.5,317.53,313.8616,305.827701360077,23500129.0,QQQ,,,,
2021-01-15,314.13,315.12,310.58,303.405207399884,35118718.0,QQQ,,,,
2021-01-19,314.25,316.93,313.12,307.831852989795,24537049.0,QQQ,,,,
2021-01-20,320.14,324.74,316.509,314.992317064902,30728096.0,QQQ,0.0,,,
2021-01-21,325.15,327.13,323.73,317.512099939159,25316935.0,QQQ,27.899342700056536,,,
2021-01-22,325.29,326.46,324.71,316.597584146958,21609444.0,QQQ,46.80720458695009,,,50.59980570760077
2021-01-25,328.91,330.32,321.41,319.214655935279,39080644.0,QQQ,83.37733620074187,,302.43099199382027,55.22419286643274
2021-01-26,328.85,329.76,327.22,319.681642722786,25498112.0,QQQ,105.3679363346154,,305.30545009903574,54.981305457570095
2021-01-27,326.26,326.27,317.36,310.769978194526,55263985.0,QQQ,106.39358116886423,,305.30545009903574,54.39918265258505
2021-01-28,320.67,326.42,320.03,312.608738670335,42836324.0,QQQ,112.96201435859886,,305.30545009903574,55.78152717098372
2021-01-29,319.58,320.7193,312.76,306.032008079611,55259018.0,QQQ,114.00608025239178,,305.30545009903574,45.97659832502349
2021-02-01,318.11,323.54,316.02,313.678916725039,35646008.0,QQQ,118.13455751774002,,305.30545009903574,53.312256565240325
2021-02-02,325.48,328.87,325.31,318.796313604804,33119867.0,QQQ,127.73970567391987,,305.30545009903574,59.83804779262091
2021-02-03,329.82,330.195,326.32,317.531557721972,24824518.0,QQQ,138.35442432025002,,305.30545009903574,60.0785782796119
2021-02-04,327.82,330.33,326.46,321.286909804841,22350947.0,QQQ,148.07981314623615,,305.30545009903574,64.9444813209222
2021-02-05,331.22,332.4025,329.53,322.376545642357,22731960.0,QQQ,153.03436483323978,,306.671704239625,71.52771319533706
2021-02-08,333.1,333.74,331.41,324.536359534578,20462812.0,QQQ,157.66777615158904,,308.41518029388243,71.34834113970165
2021-02-09,332.62,334.81,332.61,324.468257294733,17352727.0,QQQ,162.99317437286007,,309.8562079937007,70.52991761822923
2021-02-10,334.99,335.46,329.5,323.728861547847,27705242.0,QQQ,165.8405702583321,,309.8562079937007,64.3421232677221
2021-02-11,334.33,335.0,332.12,325.509248675217,22046071.0,QQQ,169.4432121096267,,309.95798122080697,69.28665083294264
2021-02-12,333.71,336.62,332.63,327.328551368213,20346819.0,QQQ,189.7934679795081,,311.1357477495017,67.97046317139052
2021-02-16,337.27,338.19,334.34,326.443222250231,27080777.0,QQQ,203.58572598937226,0.0,312.9185665504725,68.13662204100314
2021-02-17,332.47,335.657,330.17,324.876870733801,31000553.0,QQQ,230.53199792818685,15.838390721862032,312.9185665504725,71.96218964462741
2021-02-18,330.23,333.8661,328.36,323.456452588468,32236240.0,QQQ,241.03869375736622,27.760343380628097,312.9185665504725,62.98672264103722
2021-02-19,333.86,333.99,329.97,322.04576333454,39157677.0,QQQ,243.47618474289425,42.01089633705823,312.9185665504725,75.69437662380429
2021-02-22,326.5,327.8,322.23,313.698374507852,45835313.0,QQQ,245.20019244026363,45.499840138623554,312.9185665504725,64.72139267788792
2021-02-23,317.0,323.2,311.0,312.764400932838,97241936.0,QQQ,251.09845996845706,47.257760340526225,338.903763254203,48.58667440661809
2021-02-24,318.74,324.45,315.96,315.342557155533,58206272.0,QQQ,254.89700340537513,51.90973733617857,338.903763254203,52.01763155254525
2021-02-25,321.39,324.03,311.24,304.348909866305,107375054.0,QQQ,264.3861118433977,53.19046570334057,338.903763254203,40.575072088635636
2021-02-26,315.85,319.11,310.88,305.623394640543,103125301.0,QQQ,271.00855961955585,54.66056290115582,337.75895650730035,32.17614833864932
2021-03-01,319.27,323.94,317.935,314.817197019587,49164518.0,QQQ,272.61788320887337,58.26072576368446,337.75895650730035,34.96564697816936
2021-03-02,324.25,324.33,318.14,309.767902379667,48370034.0,QQQ,275.38588173902554,60.83498152826375,337.75895650730035,30.951489327083863
2021-03-03,317.27,318.24,309.1,300.778406720157,86301073.0,QQQ,278.8285001423067,63.40280453254763,336.7354713212265,28.725245335106525
2021-03-04,308.78,312.04,300.11,295.85558766852,139131582.0,QQQ,281.4112404961703,70.30836519669523,329.2000791948435,22.527723873964884
2021-03-05,306.795,309.609,297.45,300.31141993265,121523726.0,QQQ,283.26086962177715,76.17606647461757,326.9821332528989,18.154389364546425
2021-03-08,308.12,310.06,299.51,291.808368843459,88409781.0,QQQ,284.31051245207647,84.18976370411949,326.9821332528989,14.418182717721022
2021-03-09,307.47,313.73,306.92,303.317647377227,80391114.0,QQQ,285.1603204801408,88.5419637043506,326.9821332528989,21.062365192371914
2021-03-10,316.16,316.47,310.17,302.451776042057,76798065.0,QQQ,285.6156931990593,93.16903764122904,326.9821332528989,26.99059659184245
2021-03-11,315.77,319.86,314.85,309.417662289037,53484804.0,QQQ,285.8140050591322,94.26215175361652,326.9821332528989,27.79798977752217
2021-03-12,313.86,318.2302,311.391,306.907608306187,69315601.0,QQQ,286.18169249816435,96.06642722921292,326.9821332528989,27.271692659855283
2021-03-15,315.79,319.0,314.095,310.186244710143,43123176.0,QQQ,286.5079093142658,97.61975304902354,326.9821332528989,32.50980196043151
2021-03-16,321.09,324.2,319.1,311.888800706262,54925896.0,QQQ,286.87364328430687,98.7891941925008,326.9821332528989,32.304540046340804
2021-03-17,317.45,323.85,315.68,313.173014371906,78258729.0,QQQ,287.04622209250823,100.72132688886211,326.9821332528989,33.14292411140107
2021-03-18,316.87,317.8801,311.57,303.580327445199,82942269.0,QQQ,287.2931611124078,104.4036304758869,326.9821332528989,33.77866827855331
2021-03-19,311.87,314.73,309.6601,304.650505499903,78446204.0,QQQ,287.4869605428156,108.91913631570833,326.9821332528989,28.31929351283226
2021-03-22,315.21,320.74,315.21,310.356188985229,56194755.0,QQQ,288.5590641502073,112.01898332939986,326.9821332528989,33.293335622706174
2021-03-23,319.73,321.09,316.375,309.002197890507,53455411.0,QQQ,289.08776259837697,115.98914768729995,326.9821332528989,39.34061014857085
2021-03-24,318.63,318.67,311.72,303.790793317296,64803729.0,QQQ,289.71080003758954,121.00339660284132,326.9821332528989,42.114029475998365
2021-03-25,309.968,312.885,307.3899,303.264782388411,78729008.0,QQQ,289.76861422433745,125.81896892723344,326.9821332528989,43.87987687555391
2021-03-26,311.11,316.33,309.67,307.813802828952,63519634.0,QQQ,290.11384005497285,129.77616459508425,326.9821332528989,51.677501040063426
2021-03-29,315.45,316.99,312.47,307.726134340805,54607963.0,QQQ,290.2633649230897,134.19885576520443,326.9821332528989,50.367669151037674
2021-03-30,313.89,314.91,311.54,306.177324383533,44635676.0,QQQ,290.3571351257749,138.6180846615765,326.9821332528989,43.512982191737606
2021-03-31,316.16,320.74,315.81,310.862718027859,55032535.0,QQQ,290.4738103313979,141.49196064783897,326.9821332528989,43.625525577831034
2021-04-01,323.07,324.71,322.81,316.161791089219,55685602.0,QQQ,290.8907688689645,143.14216350609126,326.9821332528989,50.83079847394862
2021-04-05,327.13,331.84,324.6375,322.473922235838,42172475.0,QQQ,291.9883681514663,143.93204244748517,326.9821332528989,50.8675172503747
