Period,Days,Total_Return,CAGR,Ann_Sharpe,Ann_Vol,Max_Drawdown,Profitable_Days_Pct,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Avg_Holding_Period_All,Avg_Holding_Period_Long,Avg_Holding_Period_Short
7,1165,-0.06185626377888076,-0.013697156548330924,0.056182385986376995,0.23080865421042598,-0.3410564245611233,0.5158798283261803,0.01023504032031134,-0.010975334819415646,0.932549256010422,6.573863636363637,8.272727272727273,4.875
8,1165,-0.18463023136000067,-0.04313006490538629,-0.07525429592622747,0.2307940943148293,-0.3797483720463206,0.5167381974248927,0.01009711706894327,-0.011136994859678642,0.9066285112063546,7.225,9.225,5.225
9,1165,-0.12098571492513255,-0.027469298681371268,-0.004901577362321682,0.2307672490329345,-0.37844022305811964,0.5167381974248927,0.01015288398991268,-0.011082002470892062,0.916159693753922,8.076923076923077,10.43661971830986,5.75
10,1165,-0.056674082528326286,-0.01252290328555572,0.06116902451822486,0.23066567481457936,-0.3416498256020115,0.5158798283261803,0.010216256675774145,-0.011004966274719558,0.9283314842356923,8.742424242424242,11.303030303030303,6.181818181818182
11,1165,-0.2795846976755041,-0.06838082669631729,-0.19207745111787522,0.23039645552167076,-0.42566058728135725,0.5081545064377683,0.010124040463886987,-0.011067890593360536,0.9147217691111121,8.604477611940299,11.149253731343284,6.059701492537314
12,1165,-0.09962714394714778,-0.022413042588386167,0.01718355376969192,0.23038313452211148,-0.38751307999891205,0.5158798283261803,0.010151208636312964,-0.0110592268921034,0.9178949609543876,9.442622950819672,12.327868852459016,6.557377049180328
13,1165,-0.058928104222795374,-0.013033028922591172,0.058598927927052576,0.2303778007529242,-0.3839829833235002,0.5133047210300429,0.010236606305857592,-0.010976594846458191,0.9325848725445696,9.134920634920634,11.904761904761905,6.365079365079365
14,1165,0.030876421748843308,0.006589927179833532,0.14414742577165418,0.23033775904530002,-0.35202324170326105,0.511587982832618,0.010340436920654502,-0.01086691551697469,0.9515521588901836,9.274193548387096,12.096774193548388,6.451612903225806
15,1165,0.07497896702269147,0.01573935933771109,0.18349084694358692,0.23033085787264762,-0.3179773172960203,0.5107296137339056,0.010391787457639539,-0.010827718307924372,0.9597393617115257,9.575,12.416666666666666,6.733333333333333
16,1165,0.11701964426728084,0.02419102222323155,0.21952515348210702,0.22995877172900994,-0.2642899734052643,0.5133047210300429,0.010348112823553407,-0.010846618593555426,0.954040444429547,10.070175438596491,13.140350877192983,7.0
17,1165,0.11071243825090549,0.022939129152268478,0.21419380813915104,0.22994335061877633,-0.29128952247861917,0.5141630901287554,0.010321154514083027,-0.010886063497495843,0.9481071386784797,10.923809523809524,14.30188679245283,7.480769230769231
18,1165,0.08446621848288371,0.017668980744917073,0.19169907280838047,0.22973909881549678,-0.3301836137514549,0.5133047210300429,0.010300678310029463,-0.010888856380831667,0.9459834852962511,11.235294117647058,14.980392156862745,7.490196078431373
19,1165,0.00892753165229454,0.001921602417919388,0.12360426590612852,0.229454550048635,-0.33559338135483485,0.511587982832618,0.010253472091929455,-0.010912323757477298,0.9396231563330966,10.904761904761905,14.528301886792454,7.211538461538462
20,1165,-0.1594562460531047,-0.03682478632706698,-0.04860518094305305,0.2293348458537821,-0.4191588829389429,0.5090128755364807,0.010137585618023581,-0.011023855254482842,0.9196043837659371,11.106796116504855,14.75,7.392156862745098
21,1165,0.019361891035426293,0.0041507186797240525,0.13329730825677907,0.22932040127622427,-0.3711406528057727,0.5133047210300429,0.010210749803450169,-0.010964545944547965,0.9312514950541463,12.031578947368422,15.979166666666666,8.0
22,1165,0.027503701213037024,0.005877680122206241,0.14078678990997623,0.22925343787863806,-0.3652382386997086,0.5150214592274678,0.010173438719966104,-0.01100711911136769,0.9242598918966366,13.435294117647059,17.976744186046513,8.785714285714286
23,1165,0.15179952599211588,0.03099650163536949,0.24852836443569287,0.22922891557859237,-0.3629596855729891,0.5158798283261803,0.010248665467903192,-0.010938915124585433,0.9368996240650145,13.74698795180723,18.476190476190474,8.902439024390244
24,1165,0.13719484777089197,0.028158657261238007,0.23648472572663096,0.22921038197230917,-0.37973845105911597,0.5141630901287554,0.01026662184970852,-0.010924290830346158,0.9397975584089427,14.074074074074074,18.926829268292682,9.1
25,1165,0.08508121829205395,0.017793608732829647,0.19221674762040913,0.22921899791227993,-0.36938608198160383,0.5133047210300429,0.010244400103723574,-0.010967523017816146,0.9340668888574113,14.417721518987342,19.45,9.256410256410257
26,1165,0.19850500205653088,0.03988647275513357,0.2860578877884198,0.22919612211126586,-0.34088786009007743,0.5175965665236052,0.010239996141635933,-0.01099553787640606,0.9312865142876413,16.028169014084508,21.666666666666668,10.228571428571428
27,1165,0.24655928833218432,0.048754060295716606,0.32317707658886313,0.22917155332681094,-0.3408878600900772,0.5184549356223176,0.010251017935140199,-0.010994775267368471,0.9323535666585493,17.49230769230769,23.666666666666668,11.125
28,1165,0.1722846171787047,0.03492981203879131,0.26518591525497626,0.22917232589131697,-0.36146404344996563,0.5167381974248927,0.010229403641184865,-0.011026538811056977,0.9277075804537344,16.463768115942027,22.314285714285713,10.441176470588236
29,1165,0.14857784505977079,0.030372930276834964,0.2458989009738484,0.22917335628524452,-0.3795962762430619,0.5167381974248927,0.010210186448031408,-0.011063927115825482,0.9228356569185175,16.44927536231884,22.228571428571428,10.5
30,1165,0.2838983176810641,0.05546109838516511,0.35106437749086367,0.22913392638435934,-0.34488359660203805,0.5201716738197425,0.010230711335316426,-0.011058694805412734,0.9251282827977992,16.925373134328357,22.91176470588235,10.757575757575758
